,en,fr,it,zh,de,es,ko,sv,hu,ja,nl,ru
FG2_DESC,"A cool and rad upgrade to the ordinary fighters, capable of travelling across galaxies.\nThey can be constructed with level 100+ shipyards.",,,对普通战斗机的酷炫升级，能够穿越星系。\n它们可以用 100 级以上的造船厂建造。,"Ein cooles und bombiges upgrade der herkömmlichen Fighters, um dazu in der Lage zu sein, Galaxienübergreifend zu reisen. Diese können in einer Level 100+ Werft gebaut werden.",,,,"Egy hihetetlenül menő fejlesztés a vadászűrhajóknak, amitől galaxisok között is tudnak majd mozogni. 100-as vagy magasabb szintű hajógyárakban tudsz fejéesztett hajóket építeni.",通常の戦闘機のクールでラッドなアップグレードで、銀河系を越えて移動することができる。\nレベル100の造船所で建造することができる。,"Een coole upgrade voor de originale jagers, die tussen heelallen kan reizen.\nZe kunnen gebouwd worden in scheepswerven van level 100+.",
FIGHTER,Fighter,,,星舰,Fighter,,,,Vadászűrhajó,ファイター,Jager,
FIGHTER_MK2,Fighter MK2,,,星舰MK2,Fighter MK2,,,,Vadászűrhajó MK2,ファイターMK2,Jager MK2,
FLEET2_STRENGTH_INFO,"Every time a fleet of fighters conquers a galaxy, their strength is reduced by the galaxy's difficulty.\nConsequences:\n- The fleet cannot conquer galaxies where their difficulty is higher than this number.\n- The strength required to completely conquer a cluster is the sum of the difficulties of all galaxies in it.",,,战机舰队每征服一个星系，其力量就会因星系的难度而降低。\n因此：\n- 舰队无法征服难度高于此数值的星系。\n- 完全征服一个星团所需的力量 是其中所有星系的困难总和。,"Jedes mal wenn eine Flotte von Fightern eine Galaxy erobert, wird ihre Kampfstärke um den Schwierigkeitsgrad der eroberten Galaxy verringert. Eine Flotte kann nur Galaxien erobern deren Schwierigkeit geringer als die Kampfstärke der Flotte ist. Die benötigte Stärke um einen kompletten Cluster zu erobern ergibt sich aus der Summe der Schwierigkeit der einzelnen Galaxien darin.",,,,"Amikor egy flotta elfoglal egy galaxist, az ereje lecsökken a rendszer nehézségével.\nKövetkezmények:\n- A flotta nem tudja elfoglalni az egész halmazt, ha az ereje kisebb ennél a számnál.\n- Az erő ami a halmaz elfoglalásához kell az egyenlő a benne lévő galaxisok nehézségeinek összegével.",戦闘機隊が銀河系を征服するたびに、その銀河系の難易度によって戦力が低下する。\nその結果\n- 艦隊は難易度がこの数値より高い銀河系を征服することはできない。\n- 銀河団を完全に征服するために必要な戦力は、その銀河団に含まれるすべての銀河系の難易度の合計である。,"Telkens wanneer een vloot jagers een heelal verovert, wordt hun kracht verminderd met de moeilijkheid van dat heelal.\nGevolgen:\n- De vloot kan geen heelallen veroveren die moeilijker zijn dan deze waarde.\n- De nodige macht om een volledige cluster te veroveren is de som van de moeilijkheden van alle heelallen erin.",
ELEMENT_OVERLAY,Element overlay,,,元素视图,Elementüberlagerung,,,,Elemfilter,要素オーバーレイ,Elementfilter,
ELEMENT_OVERLAY_DESC,See how much of a particular element planets have.,,,查看行星有多少特定的元素。,Nachschauen welche Elemente im Planeten vorkommen. ,,,,"Megmutatja, hogy melyik bolygó mennyit tartalamz egy elemből.",惑星に含まれる特定の元素の量を見ることができます。,Bekijk hoeveel individuele elementen planeten bevatten.,
CLUSTER_FULLY_CONQUERED,Cluster fully conquered!,,,星系团已被完全征服,Cluster vollständig erobert.,,,,Halmaz teljesen elfoglalva!,銀河団完全制覇!,Cluster volledig veroverd!,
NUMBER_OF_GAL_BEFORE_REKT,Number of galaxies the fleets will conquer before being destroyed,,,舰队在被摧毁之前将征服的星系数量,"Zahl der Galaxien, welche die Flotten vor ihrer Zerstörung erobern werden.",,,,,艦隊が破壊されるまでに征服する銀河系の数。,Aantal heelallen dat de vloot zal veroveren voor ze verslagen wordt,
NUMBER_OF_UNCONQUERED_GAL,Number of unconquered galaxies in this cluster,,,该星团中未被征服的星系数量,Zahl der nicht eroberten Galaxien in diesem Cluster.,,,,Elfoglalatlan galaxisok ebben a halmazban,この銀河団の未制覇銀河系の数,Aantal onveroverde heelallen in deze cluster,
TIME_TO_CONQUER_ALL_GAL,Time to conquer all galaxies,,,是时候征服整个星系了,Eroberungszeit aller Galaxien.,,,,,全銀河系を制覇する時,Tijd om alle heelallen te veroveren,
MOST_DIFFICULT_GAL_FIRST,Attack most difficult galaxies first,,,优先攻击难度最高的星系,Schwierigste Galaxy zuerst angreifen.,,,,A legnehezebb galaxisokkal kezdés,最も困難な銀河系を最初に攻撃する,Val eerst de moeilijkste heelallen aan,
LEAST_DIFFICULT_GAL_FIRST,Attack least difficult galaxies first,,,优先攻击难度最低的星系,Einfachste Galaxy zuerst angreifen.,,,,A legkönnyebb gelexisokkal kezdés,難易度の低い銀河系から攻める,Val eerst de makkelijkste heelallen aan,
COMBINED_STRENGTH_F2,Combined strength of all fighter MK2s in this cluster,,,该集群中所有战斗机 MK2 的综合实力,Kombinierte Stärke aller Fighter MK2s in diesem Cluster.,,,,,この銀河団内の全MK2戦闘機の総合力,Gecombineerde macht van alle jager MK2s in deze cluster,
STRENGTH_REQUIRED_F2,Strength required to conquer every galaxy in this cluster,,,征服该星团中每个星系所需的力量,Benötigte stärke um alle Galaxien in diesem cluster zu erobern.,,,,,この銀河団の全銀河系を制覇するのに必要な戦力,Benodige macht om elk heelal in deze cluster te veroveren,
CONQUERED_CLUSTER,Cluster conquered! Your remaining fighter MK2s will have to be disbanded as they are incapable of travelling across clusters.,,,星系征服！ 您剩余的 MK2 战斗机将不得不解散，因为它们无法穿越集群。,Cluster erobert! Deine übrigen Fighter MK2s werden entlassen da sie nicht dazu in der Lage sind zu anderen Clustern zu reisen.,,,,,銀河団を征服した残りの戦闘機MK2は銀河団を越えて移動することができないため、解散せざるを得ません。,"Cluster veroverd! Je resterende jager MK2s zullen moeten ontbonden worden, aangezien ze niet naar andere clusters kunnen vliegen.",
TIME_TO_NEXT_CONQUER_F2,Time until next galaxy is conquered,,,下一个星系被征服的时间,Zeit bis die nächste Galaxy erobert wird.,,,,,次の銀河系が征服されるまでの時間,Tijd tot volgende heelal veroverd is,
M_CBS_NAME,Central business system,,,中央业务系统,Handelszentrum,,,,,セントラルビジネスシステム,Zakencentrum,
CBS_PATH_3,Affects the closest %s (%s%%) planets,,,影响最近的 %s (%s%%) 颗行星,Betrifft die nächsten %s (%s%%) Planeten,,,,A legközelebbi %s (%s%%) bolygóra hat,最も近い%s（%s%%）個の惑星に影響を与える。,Beïnvloedt de %s (%s%%) dichtste planeten,
CBS1_DESC,"Central business systems (CBS) reduce building costs of other megastructures and terraformed planets in the same system. They also auto-collect all minerals and energy produced by terraformed planets.\nThis science unlocks the first construction stage of CBSes, which affects the closest 33% of planets.",,,中央业务系统降低了同一系统中其他巨型结构和星球格式化行星的建造成本。 他们还自动收集星球格式化行星产生的所有矿物和能量。\n这项科学解锁了 CBS 的第一个建造阶段，影响了最近的 33% 的行星。,Handelszentren reduzieren die Baukosten anderer Megastrukturen und terafformter Planeten im selben System. Sie sammeln all produzierten Mineralien und Energie automatisch ein. /n Diese Forschung schaltet die erste Konstruktionsstufe des Handelszentrums frei welches die nächsten 33% der Planeten betrifft. ,,,,,セントラルビジネスシステム（CBS）は、同じシステム内にある他のメガストラクチャーやテラフォーミングされた惑星の建築コストを削減することができます。また、テラフォーミングされた惑星が生産するすべての鉱物とエネルギーを自動的に収集する。\nこの科学はCBSの最初の建設段階をアンロックし、最も近い33%の惑星に影響を与える。,"Zakencentra verlagen de bouwkosten van andere megagebouwen en geterraformeerde planeten in hetzelfde systeem. Ze verzamelen ook automatisch alle mineralen en energie van geterraformeerde planeten.\nDeze technologie ontgrendelt het eerste stadium, dat de dichtste 33% planeten beïnvloedt.",
CBS2_DESC,"This science unlocks the second construction stage of CBSes, which affects the closest 66% of planets.",,,这门科学开启了中央业务系统的第二个建造阶段，它影响了最近的 66% 的行星。,Diese Forschung schaltet die zweite Stufe des Handelszentrum frei welches die nächsten 66% der Planeten betrifft.,,,,,この科学は、惑星の最も近い66%に影響を与えるセントラルビジネスシステム（CBS）の第2建設段階のロックを解除します。,"Deze technologie ontgrendelt het tweede stadium van zakencentra, dat de dichtste 66% van planeten beïnvloedt.",
CBS3_DESC,"This science unlocks the final construction stage of CBSes, which affects all planets in the system.",,,这门科学解锁了中央业务系统的最终建造阶段，这会影响系统中的所有行星。,"Diese Forschung schaltet die dritte Stufe des Handelszentrums frei, welches alle Planeten im System betrifft.",,,,,この科学は、セントラルビジネスシステム（CBS）の最終的な建設段階のロックを解除し、システム内のすべての惑星に影響を与える。,"Deze technologie ontgrendelt het laatste stadium van zakencentra, dat invloed heeft over alle planeten in het systeem.",
M_CBS_DESC,Provides benefits to megastructures and terraformed planets.\n\nCosts are proportional to the distance between the star and the furthest planet.\n\nMore luminous stars increase the cost discount to affected stars and planets.,,,,Gibt einen Bonus zu allen Megastrukturen und geterraformten gebäuden.\n\n Die Kosten skalieren proportional zu der Distanz zwischen dem Stern und dem entferntestem planeten.\n Hellere Sterne geben einen höheren Rabatt zu betroffenen Sternen und Planeten.,,,,,巨大建造物やテラフォーミングされた建造物に恩恵を与える。\n\nコストは星と最も遠い惑星との距離に比例する。\n\nより明るい星は影響を受ける星や惑星へのコストの割引を増加させる。,Voorziet megagebouwen en geterraformeerde planeten van voordelen.\n\nKosten lopen met de afstand tussen de ster en haar verste planeet.\n\nHelderdere sterren verhogen de korting voor beïnvloedde sterren en planeten.,
SEARCH,Search,,,搜索,Suchen,,,,Keresés,検索,Zoeken,
PLANET_INTERIOR,Planet interior,,,行星内部,Planeteninhalt,,,,Bolygó belseje,プラネットインテリア,Planeetinhoud,
PLANET_ATMOSPHERE,Planet atmosphere,,,行星大气层,Planetenatmosphäre,,,,Bolygó légköre,惑星大気,Planetaire atmosfeer,
NO_FIGHTERS,There are no fighters in this galaxy. Build them with a shipyard on a planet and come back here!,,,在这个银河系中没有战士。 在一个星球上用造船厂建造它们，然后回到这里！,In dieser Galaxy sind keine Kampfschiffe. Baue diese in einer Werft auf einem Planeten und komm hierher zurück.,,,,Nincsenek vadászok ebben a galaxisban. Építsd őket egy hajógyárral és gyere ide vissza!,この銀河系には戦闘機がない。惑星にある造船所で作って、ここに戻ってきてください,"Er zijn geen jagers in dit heelal. Bouw er in een scheepswerf op een planeet, en kom dan terug!",
MAIN_BRANCH,Main branch,,,主要科技,HauptForschungszweig,,,,Főág,本支店,Hoofdtak,
OTHER_BRANCHES,Other branches,,,其他科技,Andere Forschungszweige,,,,Többi ág,その他の支店,Andere takken,
DIV_BY,÷ by %s,,,÷ %s,÷ %s,,,,÷%s,÷ %s,÷ %s,
PREV_VIEW,Go to previously viewed celestial object (Ctrl + left arrow),,,转到以前查看过的天体（Ctrl + ←）,Zurück zum vorherigen Stellaren objekt (Strg +Linker Pfeil),,,,Vissza az előző objektumra (Ctrl + balra),前に見た天体に移動する（Ctrl左矢印）,Terug naar vorig bekeken hemellichaam (Ctrl + linkerpijl),
NEXT_VIEW,Go to next celestial object (Ctrl + right arrow),,,转到下一个天体（Ctrl + →）,Zurück zum nächsten Stellaren objekt (Strg +RechterPfeil),,,,Tovább a következő objektumra (Ctrl + jobbra),次の天体に移動（Ctrl+右矢印）,Volgend hemellichaam (Ctrl + rechterpijl),
ENEMY_ATTACK_RATE,Enemy attack rate,,,敌人攻击速度,Häufigkeit des Gegnerischen Angriffs,,,,Ellenség támadási sebesség,敵の攻撃速度,Vijandelijke aanvalssnelheid,
ENEMY_NUMBER,Number of enemies,,,敌人数量,Menge an Gegnern,,,,Ellenségek száma,敵の数,Aantal vijanden,
ENEMY_SIZE,Enemy size,,,投掷物大小,Gegnergröße,,,,Ellenségek mérete,敵の大きさ,Grootte van vijanden,
ENEMY_HP,Enemy HP,,,生命值,Gegenerische Trefferpunkte,,,,Ellenségek HP-ja,敵のHP,Vijandelijk HP,
CHEST_NUMBER,Number of chests,,,箱子个数,Menge an Kisten,,,,Ládák száma,チェスト数,Aantal kisten,
DARKNESS,Darkness,,,黑暗,Dunkelheit,,,,Sötétség,ダークネス,Duisternis,
ROVER_SIZE,Rover size,,,矿车大小,Rovergröße,,,,Róverméret,ローバーサイズ,Omvang rover,
MINIMAP_DISABLED,Minimap disabled,,,小游戏已禁用,Minikarte Deaktivieren,,,,Nincs térkép,ミニマップ無効,Minimap uitgeschakeld,
SHOW_CAVE_GEN_INFO,Cave generation info in tooltip,,,工具提示中的洞穴信息,Höhlenerstellungsinformationsfenster,,,,,洞窟生成情報をツールチップに表示,Grotgeneratie info in tooltip,
SHOW_CAVE_GEN_INFO_DESC,Cave tooltips also display properties used to procedurally generate that cave.,,,洞穴工具提示还显示用于程序显示该洞穴的属性。,Höhleninformationen zeigen auch die Parameter für die Prozedurale Erstellung an,,,,,洞窟のツールチップには、その洞窟をプロシージャルに生成するために使用されるプロパティも表示されます。,Grot-tooltips tonen ook eigenschappen die gebruikt worden voor het genereren van grotten.,
PERIOD,Period,,,周期,Periode,,,,Periódus,期間,Periode,
TOTAL_TREASURE_MULT,Total treasure multiplier,,,财富倍率,Gesammter belohnungsmultiplikator,,,,Összes kincsszorzó,宝の倍率の合計,Totale buitvermenigvuldiger,
MS_ON_TF_PLANET,Impossible to build a megastructure on a terraformed planet,,,无法在格式化后的星球上建立巨型结构,Es ist unmöglich eine Megastruktur auf einem Terraformten Planeten zu bauen,,,,Nem lehet megastruktúrát építeni átalakított bolygón,テラフォーミングされた惑星にメガストラクチャーを建設するのは不可能だ,Kan geen megagebouw plaatsen op een geterraformeerde planeet,
